a_cappella	without musical accompaniment
by_a_long_shot	by a great deal
by_and_by	at some eventual time in the future
by_and_large	usually
by_hook_or_by_crook	in any way necessary
by_heart	by committing to memory
by_inches	by a short distance
by_fits_and_starts	intermittently
by_the_way	introducing a different topic
by_the_piece	one piece at a time
orally	by spoken rather than written means
orally	(of drugs) through the mouth rather than through injection
come_hell_or_high_water	in spite of all obstacles
day_in_and_day_out	without respite
dead_ahead	exactly ahead or in front
deadpan	without betraying any feeling
en_masse	all together
every_so_often	occasionally
every_inch	in every way
completely	so as to be complete
incompletely	not to a full degree or extent
alone	without anybody else
first_and_foremost	of greatest importance
first_and_last	taking everything together
precisely	indicating exactness or preciseness
for_a_song	for a relatively small amount of money
for_dear_life	as though your life was at stake
for_example	as an example
for_good_measure	in addition (as to close a deal)
for_keeps	for the winner to keep all
for_love_or_money	under any circumstances
for_one	as a particular one of several possibilities
for_one_thing	for a particular example
for_short	as an abbreviation
for_the_asking	on the occasion of a request
from_scratch	from the beginning
sincerely	written formula for ending a letter
from_way_back	since long ago
close_to_the_wind	nearly opposite to the direction from which wind is coming
closely	in a close relation or position in time or space
closely	in a close manner
relatively	in a relative manner
predominantly	much greater in number or influence
readily	without much difficulty
markedly	in a clearly noticeable manner
palpably	so as to be palpable
crudely	in a crude or unrefined manner
slowly	without speed (`slow' is sometimes used informally for `slowly')
publicly	in a manner accessible to or observable by the public
privately	kept private or confined to those intimately concerned
secretly	not openly
privately	by a private person or interest
publicly	by the public or the people generally
communally	by a group of people rather than an individual
reprovingly	in a reproving or reproachful manner
gaily	in a gay manner
hand_in_glove	in close cooperation
cheek_by_jowl	in close proximity
helter-skelter	haphazardly
head_over_heels	in disorderly haste
fecklessly	in a feckless manner
harum-scarum	in a wild or reckless manner
carelessly	without care or concern
heart_and_soul	with complete faith
hook_line_and_sinker	in every detail
in_a_big_way	with much ceremony
in_circles	without making progress
in_a_pig's_eye	very unlikely
in_a_sense	in some respects
in_case	if there happens to be need
coldly	in a cold unemotional manner
seriously	in a serious manner
in_due_course	at the appropriate time
in_full_swing	proceeding with full vigor
in_kind	with something of the same kind
in_line	one behind another in a line or queue
in_name	by title or repute though not in fact
in_no_time	in a relatively short time
long	for an extended time or at a distant time
long	for an extended distance
in_passing	incidentally
in_practice	in practical applications
secretly	in secrecy
in_short_order	without delay
inside_out	with the inside facing outward
inside_out	thoroughly
in_the_air	on everybody's mind
in_the_first_place	before now
in_the_long_run	after a very lengthy period of time
in_the_nick_of_time	at the last possible moment
in_the_same_breath	simultaneously
in_time	without being tardy
vainly	to no avail
unsuccessfully	without success
just_so	in a careful manner
lickety_split	without delay
like_clockwork	with regularity and precision
like_hell	with great speed or effort or intensity
like_hell	used ironically to indicate the opposite of what is stated
no_end	on and on for a long time
off_and_on	not regularly
off_the_cuff	without preparation
confidentially	in a confidential manner
off_the_record	not for quotation
on_all_fours	on hands and knees
on_the_average	typically
on_approval	for examination (with an option to buy)
on_faith	with trust and confidence
hypothetically	by hypothesis
theoretically	according to the assumed facts
theoretically	in a theoretical manner
oppositely	in an opposite position
contrarily	contrary to expectations
on_the_fly	on the run or in a hurry
on_the_spot	without delay or immediately
on_the_spot	at the place in question
on_the_spot	in a difficult situation
on_the_spur_of_the_moment	on impulse
on_the_way	on a route to some place
on_time	at the expected time
out_of_thin_air	without warning
out_of_wedlock	of unwed parents
to_advantage	in a flattering way
to_a_man	without exception
to_a_T	in every detail
up_to_now	prior to the present time
to_order	to specification
tooth_and_nail	with force and ferocity
to_that_effect	with that general meaning
to_the_hilt	in full
under_the_circumstances	because of prevailing conditions
orad	toward the mouth or oral region
aborad	away from the mouth or oral region
bravely	in a courageous manner
overboard	from on board a vessel into the water
upstate	in or toward the northern parts of a state
profoundly	to a great depth psychologically
impatiently	in an impatient manner
patiently	in a patient manner
tensely	in a tense manner
methodically	in a methodical manner
blindly	without seeing or looking
apologetically	in an apologetic manner
unsteadily	in an unsteady manner
steadily	in a steady manner
haughtily	in a haughty manner
wildly	to an extreme or greatly exaggerated degree
wild	in a wild or undomesticated manner
wildly	with violent and uncontrollable passion
wildly	in an uncontrolled or unrestrained manner
bleakly	without hope
stupidly	in a stupid manner
uniquely	so as to be unique
symmetrically	in a symmetrical manner
asymmetrically	in an asymmetrical manner
inversely	in an inverse or contrary manner
creatively	in a creative manner
distally	far from the center
heavily	to a considerable degree
heavily	indulging excessively
lightly	indulging with temperance
repeatedly	several time
over_and_over	repeatedly
adamantly	inflexibly
strongly	with strength or in a strong manner
weakly	in a weak or feeble manner or to a minor degree
vice_versa	with the order reversed
day_by_day	gradually and progressively
day_in_day_out	for an indefinite number of successive days
week_after_week	for an indefinite number of successive weeks
week_by_week	weekly
month_by_month	monthly
radically	in a radical manner
religiously	by religion
scrupulously	with extreme conscientiousness
exceptionally	to an exceptional degree
amply	sufficiently
strictly	restricted to something
tentatively	in a tentative manner
in_other_words	otherwise stated
loosely	in a relaxed manner
fussily	in a fussy manner
unnecessarily	without any necessity
gracefully	in a graceful manner
gracelessly	in a graceless manner
neatly	with neatness
lightly	to a slight degree
lightly	with little weight or force
successively	in proper order or sequence
independently	on your own
apart	not taken into account or excluded from consideration
apart	into parts or pieces
apart	separated or at a distance in place or position or time
apart	one from the other
once	as soon as
as_needed	according to need (physicians use PRN in writing prescriptions)
gently	in a gradual manner
overseas	in a place across an ocean
vigorously	with vigor
distinctly	clear to the mind
in_vivo	in the living organism
positively	extremely
magnificently	in a splendid manner
excellently	in an excellent manner
healthily	in a levelheaded manner
hilariously	in a hilarious manner
considerately	in a considerate manner
inconsiderately	in an inconsiderate manner
wonderfully	(used as an intensifier) extremely well
gratifyingly	in a gratifying manner
impeccably	flawlessly
blandly	in a bland manner
gravely	in a grave and sober manner
helpfully	in a helpful manner
unhelpfully	in an unhelpful manner
true	as acknowledged
preferentially	in a preferential manner
rationally	in a rational manner
irrationally	in an irrational manner
critically	in a critical manner
uncritically	in an uncritical manner
boldly	in a bold manner
competently	in a competent capable manner
incompetently	in an incompetent manner
emotionally	with regard to emotions
emotionally	in an emotional manner
unemotionally	in an unemotional manner
anxiously	with anxiety or apprehension
stiffly	in a stiff manner
informally	without formality
formally	in a formal manner
formally	with official authorization
irritably	in an irritable manner
calmly	with self-possession (especially in times of stress)
tranquilly	without emotional agitation
nicely	in a nice way
cozily	in a cozy manner
correspondingly	in a corresponding manner
studiously	in a studious manner
cleverly	in a clever manner
lavishly	in a rich and lavish manner
uptown	toward or in the upper part of town
downtown	toward or in the lower or central part of town
best_of_all	especially fortunate
best	it would be sensible
best	in a most excellent way or manner
theatrically	in a theatrical manner
dramatically	with respect to dramatic value
namely	as follows
much_as	in a similar way
popularly	among the people
enthusiastically	with enthusiasm
unenthusiastically	without enthusiasm
intellectually	in an intellectual manner
professedly	with pretense or intention to deceive
someday	some unspecified time in the future
hyperbolically	in an exaggerated manner
agilely	in a nimble or agile manner
proudly	in a proud manner
solemnly	in a grave and sedate manner
divinely	by divine means
God_knows_how	by some means not understood by the speaker
clumsily	in a clumsy manner
diffusely	in a diffuse manner
irregularly	in an irregular manner
coarsely	in coarse pieces
finely	in tiny pieces
intensely	in an intense manner
et_al.	and elsewhere (used when referring to other occurrences in a text)
et_al.	and others (used as an abbreviation of `et alii' (masculine plural) or `et aliae' (feminine plural) or `et alia' (neutral plural) when referring to a number of people)
cf.	compare (used in texts to point the reader to another location in the text)
i.e.	that is to say
continuously	at every point
reflexly	in a reflex manner
spontaneously	in a spontaneous manner
sympathetically	with respect to the sympathetic nervous system
sympathetically	in a sympathetic manner
unsympathetically	in an unsympathetic manner
convincingly	in a convincing manner
unconvincingly	in an unconvincing manner
weirdly	in a weird manner
mercifully	in a manner that may be cruel but avoids suffering
mercifully	in a compassionate manner
stealthily	in a stealthy manner
thievishly	in a manner characteristic of a thief
off	no longer on or in contact or attached
snugly	fitting closely
snugly	safely protected
snugly	warmly and comfortably sheltered
visibly	so as to be visible
conceivably	within the realm of possibility
strikingly	in a striking manner
meticulously	in a meticulous manner
graciously	in a gracious or graceful manner
ungraciously	without grace
rigidly	in a rigid manner
awkwardly	in an awkward manner
bewilderedly	in a bewildered manner
triumphantly	in a triumphant manner
regularly	in a regular manner
irregularly	in an irregular manner
universally	everywhere
ideally	in an ideal manner
mistakenly	in a mistaken manner
childishly	in a childlike manner
needlessly	without need
tantalizingly	in a tantalizing manner
improperly	in an improper way
properly	in the right manner
attentively	in an attentive manner
enormously	extremely
liberally	in a generous manner
liberally	freely in a nonliteral manner
effortlessly	without effort or apparent effort
o'clock	according to the clock
in_detail	thoroughly (including all important particulars)
handily	in a convenient manner
inconveniently	in an inconvenient manner
jointly	in collaboration or cooperation
exceedingly	to an extreme degree or extent
concretely	in concrete terms
abstractly	in abstract terms
all_over	over the entire area
kinesthetically	in a kinesthetic manner
tactually	by touch
convulsively	in a convulsive way
rebelliously	in a rebellious manner
stubbornly	in a stubborn unregenerate manner
wrongheadedly	in a wrongheaded manner
drunkenly	showing effects of much strong drink
raucously	with a raucous sound
victoriously	in a victorious manner
fearfully	in fear, "she hurried down the stairs fearfully"
fearlessly	without fear
thankfully	for which you are thankful
hopefully	it is hoped
hopefully	with hope
hopelessly	without hope
hopelessly	in a hopeless manner
eagerly	with eagerness
reportedly	according to reports or other information
maliciously	with malice
viciously	in a vicious manner
spitefully	in a spiteful manner
savagely	wildly
wisely	in a wise manner
foolishly	without good sense or judgment
fatuously	vacuously or complacently and unconsciously foolish
intelligently	in an intelligent manner
unintelligently	in an unintelligent manner
intelligibly	in an intelligible manner
unintelligibly	in an unintelligible manner
aerially	in an aerial manner
alphabetically	in alphabetical order
aristocratically	in an aristocratic manner
autocratically	in an autocratic manner
diplomatically	in a diplomatic manner
undiplomatically	in an undiplomatic manner
socioeconomically	with respect to socioeconomic factors
stoutly	in a resolute manner
indefinitely	to an indefinite extent
correctly	in a correct manner
incorrectly	in an incorrect manner
inaccessibly	in an inaccessible manner
accurately	with few mistakes
inaccurately	in an inaccurate manner
accurately	strictly correctly
wrongly	without justice or fairness
right	precisely, exactly
right	completely
justly	in accordance with moral or social standards
rightly	with honesty
unjustly	in an unjust manner
charitably	in a charitable manner
aimlessly	in an aimless manner
sluggishly	in a sluggish manner
trustfully	in a trustful manner
darkly	without light
darkly	in a dark glowering menacing manner
astray	away from the right path or direction
hurriedly	in a hurried or hasty manner
unhurriedly	without haste
hotfoot	without delay
restlessly	in a restless manner
financially	from a financial point of view
psychically	from a psychic point of view
today	on this day as distinct from yesterday or tomorrow
ornamentally	in an ornamental, nonfunctional manner
ornately	in an ornate manner
individually	apart from others
binaurally	in a binaural manner
monaurally	in a monaural manner
busily	in a busy manner
prominently	in a prominent way
inescapably	by necessity
helplessly	in a helpless manner
imaginatively	with imagination
unimaginatively	without imagination
bewilderingly	in a bewildering and confusing manner
heartily	with gusto and without reservation
unashamedly	without shame
monolingually	in a monolingual manner
passionately	with passion
spectacularly	in a spectacular manner
understandingly	with understanding
soulfully	in a soulful manner
satirically	in a satirical manner
smoothly	with no problems or difficulties
freely	in a free manner
habitually	according to habit or custom
routinely	according to routine or established practice
customarily	by custom
humiliatingly	in a humiliating manner
protectively	in a protective manner
spiritually	in a spiritual manner
sharply	in a well delineated manner
dimly	in a dim indistinct manner
dimly	with a dim light
unmistakably	without possibility of mistake
determinedly	in a determined manner
incidentally	in an incidental manner
ever	(intensifier for adjectives) very
confidently	in a confident manner
retroactively	after the fact
sporadically	in a sporadic manner
haltingly	in a halting manner
half-and-half	in equal parts
amazingly	in an amazing manner
impressively	in an impressive manner
unimpressively	in an unimpressive manner
productively	in a productive way
unproductively	in an unproductive manner
expertly	in an expert manner
amateurishly	in an amateurish manner
abundantly	in an abundant manner
interestingly	in an interesting manner
uninterestingly	in an uninteresting manner
boringly	in a tedious manner
moderately	in a moderate manner
immoderately	in an immoderate manner
realistically	in a realistic manner
unrealistically	in an unrealistic manner
sanely	with good sense or in a reasonable or intelligent manner
unreasonably	not in a reasonable or intelligent manner
stepwise	proceeding in steps
stolidly	in a stolid manner
supremely	to the maximum degree
testily	in a petulant manner
thoughtfully	showing consideration and thoughtfulness
thoughtlessly	showing thoughtlessness
thoughtfully	in a thoughtful manner
thoughtlessly	in a thoughtless manner
auspiciously	in an auspicious manner
inauspiciously	in an inauspicious manner
relentlessly	in a relentless manner
ruefully	in a rueful manner
head-on	with the front foremost
head-on	in direct opposition
inexorably	in an inexorable manner
politely	in a polite manner
impolitely	in an impolite manner
admirably	in an admirable manner
pleasantly	in an enjoyable manner
pleasantly	in a cheerful manner
unpleasantly	in an unpleasant manner
upside_down	in an inverted manner
breathlessly	in a breathless manner
heartily	in a hearty manner
affably	in an affable manner
laughingly	with laughter
ambiguously	in an ambiguous manner
unambiguously	in an unambiguous manner
ceremonially	in a ceremonial manner
unceremoniously	in an unceremonious manner
ceremoniously	in a ceremonious manner
rakishly	in a rakish manner
rollickingly	in a carefree manner
narrowly	in a narrow manner
broadly	without regard to specific details or exceptions
broadly	in a wide fashion
twirlingly	doing twirls
behind	in or to or toward the rear
behind	remaining in a place or condition that has been left or departed from
behind	in debt
behind	in or into an inferior position
behind	of timepieces
rightfully	by right
in_one's_own_right	by reason of one's own ability or ownership etc.
faithfully	in a faithful manner
unfaithfully	in an unfaithful undependable unreliable manner
violently	in a violent manner
nonviolently	without violence
furiously	(of the elements) in a wild and stormy manner
furiously	in an impassioned or very angry manner
furiously	in a manner marked by extreme or violent energy
up_and_down	alternately upward and downward
securely	in a secure manner
wryly	in a wry manner
infinitely	continuing forever without end
finitely	with a finite limit
boundlessly	without bounds
rigorously	in a rigorous manner
plastically	in a plastic manner
boastfully	in a boastful manner
big	in a major way
big	on a grand scale
small	on a small scale
big	extremely well
warily	in a wary manner
unwarily	without heed or caution
bodily	in bodily form
over	throughout a period of time
over	at or to a point across intervening space etc.
over	throughout an area
over	beyond the top or upper surface or edge
editorially	by means of an editorial
properly_speaking	in actual fact
abnormally	in an abnormal manner
angrily	with anger
exultantly	in an exultant manner
sedulously	in a sedulous manner
tenuously	in a tenuous manner
perennially	in a perennial manner
perpetually	everlastingly
anachronistically	in an anachronistic manner
ineptly	with ineptitude
ineptly	in an infelicitous manner
deliciously	in a very pleasurable manner
mentally	in your mind
roundly	in a round manner
shyly	in a shy or timid or bashful manner
fondly	with fondness
abed	in bed
noisily	with much noise or loud and unpleasant sound
quietly	with little or no sound
quietly	with little or no activity or no agitation (`quiet' is a nonstandard variant for `quietly')
unquietly	with agitation or turbulence
unqualifiedly	without qualification or limitation
outwardly	in outward appearance
inwardly	with respect to private feelings
outwardly	with respect to the outside
favorably	showing approval
unfavorably	showing disapproval
cheerfully	in a cheerful manner
cheerlessly	in an unhappy manner
flawlessly	in an adroit manner
solidly	with strength and soundness
foursquare	in a square position
solidly	as an undiversified whole
laconically	in a dry laconic manner
obligingly	in accommodation
voluntarily	out of your own free will
involuntarily	against your will
unerringly	without making errors
geographically	with respect to geography
gloomily	with gloom
cruelly	under cruel circumstances
cruelly	in a cruel manner
vaguely	in a vague way
pompously	in a pompous manner
out	away from home
away	from a particular thing or place or position (`forth' is obsolete)
away	from one's possession
aside	in reserve
aside	on or to one side
aside	out of the way (especially away from one's thoughts)
aside	placed or kept separate and distinct as for a purpose
apart	away from another or others
away	out of existence
away	indicating continuing action
away	in a different direction
away	in or into a proper place (especially for storage or safekeeping)
off	at a distance in space or time
away	so as to be removed or gotten rid of
away	freely or at will
seriatim	in a series
doggedly	with obstinate determination
efficiently	in an efficient manner
inefficiently	in an inefficient manner
discordantly	in a discordant manner
dully	without liveliness
dully	without luster or shine
in_stride	without losing equilibrium
atonally	without tonality
charmingly	in a charming manner
winsomely	in an engaging manner
tragically	in a tragic manner
fascinatingly	in a fascinating manner
curvaceously	in a curvaceous way
ominously	in an ominous manner
restively	in a restive manner
wittingly	with full knowledge and deliberation
unwittingly	without knowledge or intention
scienter	deliberately or knowingly
contentedly	with equanimity
pityingly	in a compassionate manner
glibly	with superficial plausibility
callously	in a callous way
justifiably	with good reason
unjustifiably	without any excuse
under_way	in motion
afoot	on foot
modestly	in a modest manner
immodestly	in an immodest manner
frowningly	with a frown
overwhelmingly	incapable of being resisted
each	to or from every one of two or more (considered individually)
next_door	at or in or to the adjacent residence
in_unison	at the same pitch
in_unison	speaking or singing at the same time
in_unison	in complete agreement
analytically	by virtue of analysis
therein	(formal) in or into that thing or place
anarchically	in a lawless rebellious manner
lopsidedly	in a crooked lopsided manner
sternly	with sternness
suspiciously	with suspicion
authoritatively	in an authoritative manner
resolutely	showing firm determination or purpose
irresolutely	lacking determination or decisiveness
speculatively	in a speculative manner
beautifully	in a beautiful manner
unattractively	in an unattractive manner
dourly	in a sullen manner
belligerently	in a belligerent hostile manner
consciously	with awareness
unconsciously	without awareness
greenly	with green color
casually	in an unconcerned manner
commensally	in a commensal manner
competitively	in competition
noncompetitively	in a noncompetitive manner
compulsively	in a compulsive manner
structurally	with respect to structure
south	in a southern direction
north	in a northern direction
unofficially	without official authorization
overnight	happening in a short time or with great speed
willy-nilly	without having a choice
believably	in a believable manner
unbelievably	in an unbelievable manner
underfoot	under the feet
underfoot	in the way and hindering progress
hand_in_hand	together
feetfirst	with the feet foremost
ferociously	in a physically fierce manner
fiercely	in an emotionally fierce manner
subconsciously	from the subconscious mind
vividly	in a vivid manner
artfully	in an artful manner
expectantly	in an expectant manner
lustily	in a healthy manner
just	absolutely
tenfold	by ten times as much
quantitatively	in a quantitative manner
on_paper	as described in contrast to as practiced
on_paper	as written or printed
dramatically	in a very impressive manner
classically	in the manner of Greek and Roman culture
obscurely	in an obscure manner
decently	in a decent manner
indecently	in an indecent manner
horrifyingly	in a horrifying manner
characteristically	in characteristic manner
uncharacteristically	in uncharacteristic manner
perversely	deliberately deviant
perversely	in a contrary disobedient manner
dialectically	in a dialectic manner
prophetically	in a prophetic manner
artistically	in an artistic manner
peculiarly	uniquely or characteristically
particularly	specifically or especially distinguished from others
instinctively	as a matter of instinct
internally	on or from the inside
externally	on or from the outside
overhead	above the head
at_arm's_length	at some distance
overhead	above your head
aboard	on first or second or third base
aboard	on a ship, train, plane or other vehicle
aboard	part of a group
aboard	side by side
uniformly	in a uniform manner
all_too	to a high degree
enduringly	in an enduring manner
abreast	alongside each other, facing on the same direction
per_annum	by the year
per_diem	one every day
between	in between
ad_hoc	for one specific case
ad_nauseam	to a sickening extent
ad_val	in proportion to the estimated value of the goods taxed
ante_meridiem	before noon
post_meridiem	between noon and midnight
a_posteriori	derived from observed facts
a_priori	derived by logic, without observed facts
cap-a-pie	at all points from head to foot
legally	by law
unlawfully	not conforming to the law
jurisprudentially	in respect to jurisprudence or the science or philosophy of law
doggo	quietly in concealment
en_clair	in ordinary language
en_famille	in a casual way
ex_officio	by virtue of position
full-time	for the standard number of hours
half-time	for less than the standard number of hours
bilaterally	in a bilateral manner
unilaterally	in a unilateral manner
blatantly	in a blatant manner
chock	as completely as possible
cloyingly	in an overly sweet manner
collect	make a telephone call or mail a package so that the recipient pays
C.O.D.	collecting the charges upon delivery
counterclockwise	in a direction opposite to the direction in which the hands of a clock move
counterintuitively	in a counterintuitive manner
clockwise	in the direction that the hands of a clock move
deathly	in the manner of death
foremost	prominently forward
fortnightly	every two weeks
semiweekly	twice a week
bimonthly	every two months
semimonthly	twice a month
semiannually	twice a year
halfway	at half the distance
ceteris_paribus	all other things being equal
hereby	(formal) by means of this
hierarchically	in a hierarchical manner
higgledy-piggledy	in a disordered manner
ibid.	in the same place (used when citing a reference)
in_loco_parentis	in place of the parents
in_situ	in the original or natural place or site
inter_alia	among other things
ipso_facto	by the fact itself
item	(used when listing or enumerating items) also
give_or_take	plus or minus a small amount
mutatis_mutandis	with the necessary changes having been carried out
par_excellence	to a degree of excellence
pari_passu	used in legal language
passim	used to refer to cited works
pro_tem	for the time being
sine_die	without a date fixed (as of an adjournment)
sotto_voce	in an undertone
sub_rosa	in secret or covertly
tandem	one behind the other
thrice	three times
verbatim	using exactly the same words
a_la_carte	by ordering items listed individually on a menu
by_word_of_mouth	orally
gratis	without payment
below	(in writing) see below
inland	towards or into the interior of a region
inshore	toward the shore
inward	toward the center or interior
outward	toward the outside
knee-deep	up to the knees
breast-deep	up to the breast
live	not recorded
sooner	comparatives of `soon' or `early'
in_extremis	at the point of death
midmost	the middle or central part or point
off-hand	without preparation
offstage	not in public
offstage	behind the scenes
onstage	on the stage
off-the-clock	overtime without extra compensation
overtime	beyond the regular time
perforce	by necessity
post-haste	as fast as possible
prima_facie	at first sight
perfunctorily	in a set manner without serious attention
proportionately	in proportion
rent-free	without paying rent
wholesale	on a large scale without careful discrimination
scot_free	free from harm or penalty
skyward	toward the sky
up_here	in a specified area or place
adversely	in an adverse manner
aesthetically	in a tasteful way
agonizingly	in a very painful manner
appallingly	to an appalling extent
appealingly	in an appealing manner
unappealingly	in an unappealing manner
approvingly	in an approving manner
disapprovingly	showing disapproval
ambitiously	in an ambitious and energetic manner
unambitiously	in an unambitious manner
amicably	in an amicable manner
anonymously	without giving a name
at_a_loss	below cost
more_than	comparing quantity or quality
less_than	comparing quantity or quality
afield	off the subject
afield	in or into a field (especially a field of battle)
afield	far away from home or one's usual surroundings
animatedly	in an animated manner
offhand	in a casually inconsiderate manner
offhand	without previous thought or preparation
casually	not methodically or according to plan
upstage	at or toward the rear of the stage
downstage	at or toward the front of the stage
abjectly	in a hopeless resigned manner
abortively	in an unfruitful manner
abstemiously	in a sparing manner
abstrusely	in a manner difficult to understand
accelerando	with increasing speed
adagio	slowly
administratively	by or for an administrator
adorably	in an adorable manner
antagonistically	in an antagonistic manner
anteriorly	in an anterior direction
apathetically	in an apathetic manner
ardently	in an ardent manner
arrogantly	in an arrogant manner
ascetically	in an ascetic manner
ashamedly	with a feeling of shame
assertively	in an assertive manner
unassertively	in an unassertive manner
assuredly	without a doubt
audaciously	in an audacious manner
avidly	in an avid manner
adjectively	as an adjective
adverbially	as an adverb
adrift	off course, wandering aimlessly
adrift	floating freely
andante	at a moderately slow temp
amorously	in an amorous manner
angelically	like an angel
architecturally	with regard to architecture
articulately	in an articulate manner
inarticulately	in an inarticulate manner
attributively	in an attributive manner
audibly	in an audible manner
inaudibly	in an inaudible manner
beastly	in a beastly manner
authentically	genuinely
bloodlessly	in a bloodless manner
bloodily	involving a great bloodshed
blushingly	while blushing
bombastically	in a grandiose manner
turgidly	in a turgid manner
boyishly	like a boy
aground	with the bottom lodged on the ground
akimbo	with hands on hips and elbows extending outward
alee	on or toward the lee
alertly	in an alert manner
alias	as known or named at another time or place
allegretto	in a moderately quick tempo
allegro	in a quick and lively tempo
alliteratively	in an alliterative manner
altruistically	in an altruistic manner
anomalously	in an anomalous manner
appreciatively	with appreciation
ungratefully	in an ungrateful manner
arithmetically	with respect to arithmetic
askance	with a side or oblique glance
askance	with suspicion or disapproval
awry	away from the correct or expected course
askew	turned or twisted to one side
assiduously	with care and persistence
perseveringly	with perseverance
persistently	with persistence
astutely	in a shrewd manner
across	transversely
across	to the opposite side
amain	with all your strength
amain	at full speed
amidship	at or near or toward the middle
amok	in a murderous frenzy
amok	wildly
antithetically	with antithesis
seasonably	at an opportune time
seasonably	in accordance with the season
unseasonably	not in accordance with the season
apropos	by the way
archly	with playful slyness or roguishness
arduously	in an arduous manner
artlessly	in an ingenuous manner
artlessly	in a crude and unskilled manner
obliquely	at an oblique angle
blissfully	in a blissful manner
aslant	over or across in a slanting direction
asleep	into a sleeping state
asleep	in the sleep of death
astern	(of a ship or an airplane) behind
aft	at or near or toward the stern of a ship or tail of an airplane
fore	near or toward the bow of a ship or cockpit of a plane
astern	stern foremost or backward
astride	with one leg on each side
astride	with the legs stretched far apart
athwart	at right angles to the center line of a ship
atop	on, to, or at the top
austerely	in an austere fashion
avariciously	in a greedy manner
avowedly	by open declaration
backstage	in or to a backstage area of a theater
backstage	out of view of the public
privily	confidentially or in secret
baldly	in a bald manner
balefully	in a baleful manner
banefully	in a noxiously baneful way
bang	directly
banteringly	in a bantering fashion
barbarously	in a barbarous manner
bareback	without a saddle
barefooted	without shoes on
bawdily	in a bawdy manner
becomingly	in a becoming manner
beneficially	in a beneficial manner
benignly	in a benign manner
beseechingly	in a beseeching manner
bewitchingly	in a bewitching manner
biennially	every two years
biannually	twice a year
blankly	in a blank manner
blasphemously	in a blasphemous manner
bluffly	in a blunt direct manner
boorishly	like a boor, "he behaved boorishly at the party"
bountifully	in a bountiful manner
breadthwise	in the direction of the breadth
breezily	in a breezy manner
briskly	in a brisk manner
bestially	in an inhumane manner
bumptiously	in a bumptious manner
buoyantly	in a cheerfully buoyant manner
on_air	very happily
bureaucratically	with respect to bureaucracy
bureaucratically	in a bureaucratic manner
cagily	in a cagey manner
cantankerously	in a bad mood
capriciously	in a capricious manner
capriciously	unpredictably
captiously	in a captious, carping manner
caressingly	in a gentle or caressing manner
caustically	in a caustic vitriolic manner
cautiously	with caution or prudence or tact
charily	with great caution
incautiously	without caution or prudence
disdainfully	in a proud and domineering manner
endlessly	with unflagging resolve
interminably	all the time
centennially	every hundred years
chaotically	in a manner suggestive of chaos
chaotically	in a wild and confused manner
chastely	in a chaste and virtuous manner
chattily	in a chatty manner
cheaply	with little expenditure of money
cheekily	in a brash cheeky manner
gallantly	in a gallant manner
churlishly	in a churlish manner
circularly	in a circular manner
clannishly	in a clannish manner
fairly	in conformity with the rules or laws and without fraud or cheating
unfairly	in an unfair manner
cleanly	without difficulty or distortion
cleanly	in a manner that minimizes dirt and pollution
clearly	in an easily perceptible manner
clear	completely
climatically	with respect to climate
coastwise	by way of, or along the coast
coaxingly	in a cajoling manner
coherently	in a coherent manner
incoherently	in an incoherent manner
colloquially	with the use of colloquial expressions
collectedly	in a self-collected or self-possessed manner
colloidally	in a colloidal manner
combatively	in a bellicose contentious manner
comfortingly	in a comforting or consoling manner
compactly	taking up no more space than necessary
compatibly	with compatibility
incompatibly	without compatibility
complacently	in a self-satisfied manner
uncomplainingly	without complaining
complainingly	with complaints
comprehensively	in an all-inclusive manner
noncomprehensively	in a limited way
compulsorily	in a manner that cannot be evaded
computationally	with regard to computation
brotherly	(archaic as adverb) in a brotherly manner
pro	favoring a proposition, opinion, etc.;
con	on the negative side
conceitedly	in a conceited manner
conceptually	in a conceptual manner
concernedly	in a manner showing concern
concisely	in a concise manner
in_a_nutshell	summed up briefly
succinctly	with concise and precise brevity
conically	in a conical manner
cynically	in a cynical manner
cytophotometrically	by cytophotometric means
cytoplasmically	by means of cytoplasm
cursorily	without taking pains
cumulatively	in a cumulative manner
cum_laude	with honor
magna_cum_laude	with high honor
summa_cum_laude	with highest honor
criminally	in violation of the law
criminally	in a shameful manner
coyly	in a coy manner
cross-legged	with the legs crossed
condescendingly	with condescension
consecutive	in a consecutive manner
conservatively	in a conservative manner
conditionally	subject to a condition
unconditionally	not subject to a condition
crucially	to a crucial degree
crosswise	not in the intended manner
crisscross	crossing one another in opposite directions
counter	in the opposite direction
counteractively	in a counteractive manner
cross-country	across the countryside
cross-country	not following tracks or roads
crossly	in an ill-natured manner
crosstown	across a town or city
craftily	in an artful manner
confusedly	in a confused manner
consequently	as a consequence
consequentially	having consequence
inconsequentially	lacking consequence
constructively	in a constructive manner
contemporaneously	during the same period of time
contrastingly	in a contrasting manner
coolly	in a composed and unconcerned manner
incredibly	not easy to believe
credibly	easy to believe on the basis of available evidence
incredulously	in an incredulous manner
credulously	in a credulous manner
cryptically	in a cryptic manner
cryptographically	in a cryptographic manner
cunningly	in an attractive manner
curtly	in a curt, abrupt and discourteous manner
damned	in a damnable manner
damply	in a damp manner
dauntingly	to a degree or in a manner that daunts
dazedly	in a daze
decisively	in an indisputable degree
decisively	with finality
indecisively	without finality
decisively	with firmness
indecisively	lacking firmness or resoluteness
deftly	in a deft manner
